CityNumbeo,Country,latitude,longitude,Group,City
Aachen, Germany,50.7753455,6.0838868,2,Aachen
Aberdeen, United Kingdom,57.1498891,-2.0937528,1,Aberdeen
Alcala-de Henares Spain, Spain,40.4843898,-3.3688023,2,Alcala-de Henares 
Alicante,Spain,38.3459963,-0.4906855,2,Alicante
Amsterdam,Netherlands,52.3675734,4.9041389,2,Amsterdam
Antwerp,Belgium,51.2213404,4.4051485,2,Antwerp
Athens,Greece,37.9838096,23.7275388,2,Athens
Barcelona,Spain,41.3873974,2.168568,2,Barcelona
Bari,Italy,41.1171432,16.8718715,2,Bari
Berlin,Germany,52.5200066,13.404954,2,Berlin
Bielefeld,Germany,52.0302285,8.5324708,2,Bielefeld
Bilbao,Spain,43.2630126,-2.9349852,2,Bilbao
Birmingham, United Kingdom,52.486243,-1.890401,1,Birmingham
Bochum,Germany,51.4818445,7.2162363,2,Bochum
Bologna,Italy,44.494887,11.3426163,2,Bologna
Bonn,Germany,50.73743,7.0982068,2,Bonn
Bordeaux, France,44.837789,-0.57918,2,Bordeaux
Bratislava,Slovakia,48.1485965,17.1077477,3,Bratislava
Bremen,Germany,53.0792962,8.8016937,2,Bremen
Brno,Czech Republic,49.1950602,16.6068371,3,Brno
Bucharest,Romania,44.4267674,26.1025384,3,Bucharest
Budapest,Hungary,47.497912,19.040235,3,Budapest
Burgos Spain, Spain,42.3504659,-3.6893545,2,Burgos
Bydgoszcz,Poland,53.1234804,18.0084378,3,Bydgoszcz
Cadiz Spain, Spain,36.5210142,-6.2804565,2,Cadiz
Cardiff, United Kingdom,51.483707,-3.1680962,1,Cardiff
Cluj-Napoca,Romania,46.7712101,23.6236353,3,Cluj-Napoca
Cologne,Germany,50.937531,6.9602786,2,Cologne
Constanta,Romania,44.1598013,28.6348138,3,Constanta
Copenhagen,Denmark,55.6760968,12.5683371,1,Copenhagen
Cordoba,Spain,37.8881751,-4.7793835,2,Cordoba
Cork, Ireland,51.8985143,-8.4756035,1,Cork
Darmstadt, Germany,49.8728253,8.6511929,2,Darmstadt
Delft, Netherlands,52.0115769,4.3570677,2,Delft
Dijon France, France,47.322047,5.04148,2,Dijon
Dortmund,Germany,51.5135872,7.4652981,2,Dortmund
Dresden,Germany,51.0504088,13.7372621,2,Dresden
Dublin,Ireland,53.3498053,-6.2603097,1,Dublin
Duisburg Germany,Germany,51.4344079,6.7623293,2,Duisburg
Durham, United Kingdom,54.77525,-1.584852,1,Durham
Dusseldorf,Germany,51.2277411,6.7734556,2,Dusseldorf
Dusseldorf, Germany,51.2277411,6.7734556,2,Dusseldorf
Edinburgh, United Kingdom,55.953252,-3.188267,1,Edinburgh
Eindhoven, Netherlands,51.4231423,5.4622897,2,Eindhoven
Enschede, Netherlands,52.2215372,6.8936619,2,Enschede
Espoo, Finland,60.2054911,24.6559001,1,Espoo
Essen,Germany,51.4556432,7.0115552,2,Essen
Exeter, United Kingdom,50.7260367,-3.5274889,1,Exeter
Ferrara, Italy,44.8381237,11.619787,2,Ferrara
Flensburg Germany, Germany,54.7937431,9.4469964,2,Flensburg
Florence,Italy,43.7695604,11.2558136,2,Florence
Frankfurt,Germany,50.1109221,8.6821267,2,Frankfurt
Freiburg, Germany,47.9990077,7.8421043,2,Freiburg
Galati,Romania,45.4353208,28.0079945,3,Galati
Galway, Ireland,53.274001,-9.0512662,1,Galway
